text,category,location_label,location_mention,source,severity,sentiment
Cows sitting in the middle of Uma Char Rasta road.,other,Waghodia Road,Uma Char Rasta,Official App,Medium,Negative
Please check: No electricity in Samta for 4 hours. #Vadodara #VMC,electricity,Subhanpura,Samta,WhatsApp,Medium,Negative
Pedestrian hit by a speeding car in Mandvi Gate.,accident,Mandvi,Mandvi Gate,Official App,High,Negative
Action required: Yellow water coming from tap in Kala Ghoda Circle.,water,Kala Ghoda,Kala Ghoda Circle,Social Media,Medium,Negative
Street lights not working in Mental Hospital.,electricity,Karelibaug,Mental Hospital,News Headline,Medium,Negative
Help needed: Accident prone zone near Parshuram Bhattha school needs speed breaker. Authorities please take note.,accident,Sayajigunj,Parshuram Bhattha,WhatsApp,High,Negative
Urgent: Garbage not collected in Gotri for 3 days. Very dangerous situation.,garbage,Gotri,Gotri,Social Media,High,Negative
Report: Heavy rain caused flooding near Kala Ghoda Circle. #Vadodara #VMC,flooding,Kala Ghoda,Kala Ghoda Circle,Social Media,High,Negative
Urgent: Electric pole looking dangerous in Sursagar Lake. VMC please help.,electricity,Nyay Mandir,Sursagar Lake,Social Media,High,Negative
Blinkering street lights at Nandesari GIDC crossroad.,electricity,Nandesari,Nandesari GIDC,News Headline,Medium,Negative
Please check: Accident prone zone near Central Library school needs speed breaker. Calling municipal corporation.,accident,Mandvi,Central Library,Social Media,High,Negative
Dustbins are overflowing at GMERS.,garbage,Gotri,GMERS,Official App,High,Negative
Action required: Huge traffic jam at Circuit House. Very dangerous situation.,traffic,Alkapuri,Circuit House,Social Media,High,Negative
Yellow water coming from tap in Kothi Kacheri.,water,Raopura,Kothi Kacheri,Official App,Medium,Negative
Urgent: Bahut traffic hai Tarsali par.,traffic,Tarsali,Tarsali,WhatsApp,High,Negative
Help needed: Foul smell coming from garbage dump in Vasna Bhayli Road. Calling municipal corporation.,garbage,Vasna Road,Vasna Bhayli Road,Social Media,Medium,Negative
Nandesari is completely submerged.,flooding,Nandesari,Nandesari,News Headline,High,Negative
Report: Contaminated water supply in GMERS. Very dangerous situation.,water,Gotri,GMERS,Social Media,High,Negative
Please check: Cars parked illegally on Kala Ghoda road causing jam. Calling municipal corporation.,traffic,Kala Ghoda,Kala Ghoda,WhatsApp,Medium,Negative
Help needed: Strong winds blowing in MS University Hostel. It is very annoying.,weather,Fatehgunj,MS University Hostel,Social Media,Low,Neutral
Report: Electric pole looking dangerous in Madhuban Circle. It's been a week.,electricity,Gorwa,Madhuban Circle,Social Media,High,Negative
Action required: Bike slipped due to oil spill near Akota Stadium. Authorities please take note.,accident,Akota,Akota Stadium,Social Media,High,Negative
Alert: Traffic signal not working at D-Mart Waghodia crossroads. Please resolve asap.,traffic,Waghodia Road,D-Mart Waghodia,Social Media,Medium,Negative
"Alert: Heatwave alert for Vrindavan Char Rasta, stay indoors. #Vadodara #VMC",weather,Waghodia Road,Vrindavan Char Rasta,Social Media,Medium,Negative
"Report: Car collision at Subhanpura, ambulance needed. #Vadodara #VMC",accident,Subhanpura,Subhanpura,Social Media,High,Negative
Harni Warasia Ring Road bridge is blocked due to heavy traffic.,traffic,Harni,Harni Warasia Ring Road,News Headline,Medium,Negative
Alert: Low pressure water in Khanderao Market. Please resolve asap.,water,Nyay Mandir,Khanderao Market,WhatsApp,Medium,Negative
Please check: Cleaning not done in Kothi Kacheri society. Calling municipal corporation.,garbage,Raopura,Kothi Kacheri,Social Media,Medium,Negative
Action required: Cars parked illegally on Akota road causing jam. VMC please help.,traffic,Akota,Akota,WhatsApp,Medium,Negative
Alert: Yellow water coming from tap in Abhilasha Char Rasta. Very dangerous situation.,water,Sama,Abhilasha Char Rasta,Social Media,High,Negative
Dustbins are overflowing at Bright School.,garbage,Karelibaug,Bright School,News Headline,High,Negative
Yellow water coming from tap in Abhilasha Char Rasta.,water,Sama,Abhilasha Char Rasta,Official App,Medium,Negative
Report: Dead animal near Nyay Mandir needs removal. Calling municipal corporation.,garbage,Nyay Mandir,Nyay Mandir,WhatsApp,High,Negative
Complaint: Kachra pada hai Iskcon Temple road pe. Please resolve asap.,garbage,Gotri,Iskcon Temple,Social Media,Medium,Negative
Help needed: Bahut traffic hai Sardar Estate par. Authorities please take note.,traffic,Ajwa Road,Sardar Estate,WhatsApp,Medium,Negative
Action required: Voltage fluctuation damaged appliances in Nyay Mandir. It is very annoying.,electricity,Nyay Mandir,Nyay Mandir,Social Media,Medium,Negative
Action required: Sweepers not coming to Gorwa BIDC regularly. Authorities please take note.,garbage,Gorwa,Gorwa BIDC,WhatsApp,Low,Negative
No water supply in Jubilee Baug since morning.,water,Raopura,Jubilee Baug,Official App,High,Negative
Alert: Frequent power cuts in Kala Ghoda since yesterday. #Vadodara #VMC,electricity,Kala Ghoda,Kala Ghoda,Social Media,Medium,Negative
Action required: Stray cattle blocking traffic at Concorde Building. It's been a week.,other,Alkapuri,Concorde Building,WhatsApp,Medium,Negative
Accident prone zone near ONGC Main Gate school needs speed breaker.,accident,Tarsali,ONGC Main Gate,Official App,High,Negative
Report: It's extremely hot in Tandalja Road today. Please resolve asap.,weather,Vasna Road,Tandalja Road,Social Media,Low,Neutral
Heavy rain predicted for Novino Battery this evening.,weather,Makarpura,Novino Battery,News Headline,Low,Neutral
Voltage fluctuation damaged appliances in Raopura.,electricity,Raopura,Raopura,Official App,Medium,Negative
"Action required: Heatwave alert for Nandesari GIDC, stay indoors. Authorities please take note.",weather,Nandesari,Nandesari GIDC,Social Media,Medium,Negative
Action required: Pile of trash blocking the footpath in Vasna Road. VMC please help.,garbage,Vasna Road,Vasna Road,WhatsApp,Medium,Negative
Please check: It's extremely hot in Sama Pond today. VMC please help.,weather,Sama,Sama Pond,Social Media,Low,Neutral
Action required: Contaminated water supply in Tarsali.,water,Tarsali,Tarsali,Social Media,High,Negative
Dustbins are overflowing at Vrindavan Char Rasta.,garbage,Waghodia Road,Vrindavan Char Rasta,News Headline,High,Negative
Need a traffic policeman at Sama Savli Road junction.,traffic,Sama,Sama Savli Road,Official App,Medium,Negative
Urgent: Stray animal menace in Kala Ghoda. Authorities please take note.,other,Kala Ghoda,Kala Ghoda,Social Media,High,Negative
Alert: Bike slipped due to oil spill near Parshuram Bhattha. Calling municipal corporation.,accident,Sayajigunj,Parshuram Bhattha,Social Media,High,Negative
Please check: Bike slipped due to oil spill near Akota. VMC please help.,accident,Akota,Akota,Social Media,High,Negative
Garden maintenance needed in Sama.,other,Sama,Sama,Official App,Low,Negative
Cars parked illegally on Kothi Kacheri road causing jam. Authorities please take note.,traffic,Raopura,Kothi Kacheri,Social Media,Medium,Negative
"Andhera hai Parshuram Bhattha me, lights fix karo. Calling municipal corporation.",electricity,Sayajigunj,Parshuram Bhattha,Social Media,Medium,Negative
"Knee deep water in Novino Battery, please help.",flooding,Makarpura,Novino Battery,Official App,High,Negative
Alert: Contaminated water supply in Parshuram Bhattha. Please resolve asap.,water,Sayajigunj,Parshuram Bhattha,Social Media,High,Negative
Accident ho gaya hai Khanderao Market me.,accident,Nyay Mandir,Khanderao Market,Official App,High,Negative
Garbage not collected in ONGC Main Gate for 3 days.,garbage,Tarsali,ONGC Main Gate,Official App,Medium,Negative
Report: Sama Pond bridge is blocked due to heavy traffic. VMC please help.,traffic,Sama,Sama Pond,Social Media,Medium,Negative
Alert: Bright School Vasna is completely dark at night. It is very annoying.,electricity,Vasna Road,Bright School Vasna,Social Media,High,Negative
Barish ka paani Sayajipura me bhar gaya hai.,flooding,Ajwa Road,Sayajipura,Official App,High,Negative
Accident ho gaya hai Vrindavan Char Rasta me.,accident,Waghodia Road,Vrindavan Char Rasta,Official App,High,Negative
Please check: Wrong side driving is rampant in Gorwa. It's been a week.,traffic,Gorwa,Gorwa,WhatsApp,Medium,Negative
Action required: Wrong side driving is rampant in Susen Tarsali Ring Road. Authorities please take note.,traffic,Makarpura,Susen Tarsali Ring Road,WhatsApp,Medium,Negative
Water pipeline leakage near Susen Tarsali Ring Road.,water,Makarpura,Susen Tarsali Ring Road,Official App,Medium,Negative
Help needed: Bahut traffic hai Vasna Road par. Please resolve asap.,traffic,Vasna Road,Vasna Road,Social Media,Medium,Negative
Please check: Leprosy Ground is completely submerged. #Vadodara #VMC,flooding,Ajwa Road,Leprosy Ground,Social Media,High,Negative
"Please check: Heatwave alert for Manjalpur, stay indoors. Very dangerous situation.",weather,Manjalpur,Manjalpur,Social Media,High,Negative
Heavy rain predicted for Sama this evening.,weather,Sama,Sama,Official App,Low,Neutral
Blinkering street lights at Iskcon Temple crossroad.,electricity,Gotri,Iskcon Temple,News Headline,Medium,Negative
"Help needed: Andhera hai Tarsali Bypass me, lights fix karo.",electricity,Tarsali,Tarsali Bypass,Social Media,Medium,Negative
Shreyas School bridge is blocked due to heavy traffic. Please resolve asap.,traffic,Manjalpur,Shreyas School,Social Media,Medium,Negative
Very unhygienic conditions in Bahucharaji Road vegetable market.,garbage,Karelibaug,Bahucharaji Road,Official App,Medium,Negative
Drinking water smells bad in Alkapuri.,water,Alkapuri,Alkapuri,News Headline,Medium,Negative
Alert: No water supply in Gorwa BIDC since morning. Very dangerous situation.,water,Gorwa,Gorwa BIDC,WhatsApp,High,Negative
