text,category,location,source,urgency,sentiment
Alert: Terrible chemical smell in Harni at night. Calling municipal corporation.,Pollution,Harni,Social Media,High,Negative
Eyes burning due to smoke in Manjalpur.,Pollution,Manjalpur,Official App,High,Negative
Street lights not working in Nyay Mandir. Please resolve asap.,Street Lights,Nyay Mandir,WhatsApp,Medium,Negative
Low pressure water in Nyay Mandir.,Water Supply,Nyay Mandir,News Headline,High,Negative
Report: Vishwamitri river water entering Sama low lying areas. Very dangerous situation.,Waterlogging,Sama,Social Media,High,Negative
Help needed: Yellow water coming from tap in Sama.,Water Supply,Sama,WhatsApp,High,Negative
Road surface is damaged at Waghodia Road. VMC please help.,Roads,Waghodia Road,WhatsApp,Medium,Negative
Complaint: Sayajigunj is completely submerged. It is very annoying.,Waterlogging,Sayajigunj,WhatsApp,High,Negative
Urgent: Dead animal near Waghodia Road needs removal. Please resolve asap.,Sanitation,Waghodia Road,Social Media,High,Negative
Help needed: Very unhygienic conditions in Raopura vegetable market. Calling municipal corporation.,Sanitation,Raopura,WhatsApp,Medium,Negative
Action required: Very unhygienic conditions in Gotri vegetable market. Calling municipal corporation.,Sanitation,Gotri,Social Media,Medium,Negative
Help needed: Ganda paani aa raha hai Manjalpur me.,Water Supply,Manjalpur,WhatsApp,High,Negative
Cows sitting in the middle of Nandesari road.,Stray Animals,Nandesari,Official App,Medium,Negative
Barish ka paani Subhanpura me bhar gaya hai. #Vadodara #VMC,Waterlogging,Subhanpura,WhatsApp,High,Negative
Stray animal menace in Sayajigunj.,Stray Animals,Sayajigunj,News Headline,Medium,Negative
Complaint: Ganda paani aa raha hai Gotri me. It is very annoying.,Water Supply,Gotri,Social Media,High,Negative
Please check: Air quality is very bad in Nyay Mandir. Very dangerous situation.,Pollution,Nyay Mandir,WhatsApp,High,Negative
Barish ka paani Nyay Mandir me bhar gaya hai.,Waterlogging,Nyay Mandir,Official App,High,Negative
Complaint: Low pressure water in Kala Ghoda. It's been a week.,Water Supply,Kala Ghoda,Social Media,High,Negative
 foul smell coming from garbage dump in Sama.,Sanitation,Sama,Official App,Medium,Negative
Too many stray dogs in Waghodia Road attacking people.,Stray Animals,Waghodia Road,Official App,Medium,Negative
Terrible chemical smell in Gotri at night.,Pollution,Gotri,News Headline,High,Negative
"Knee deep water in Subhanpura, please help. It's been a week.",Waterlogging,Subhanpura,WhatsApp,High,Negative
Street lights not working in Ajwa Road.,Street Lights,Ajwa Road,Official App,Medium,Negative
Please check: Water logging issue at Gorwa circle. Authorities please take note.,Waterlogging,Gorwa,WhatsApp,High,Negative
Complaint: Street lights not working in Ajwa Road. It's been a week.,Street Lights,Ajwa Road,Social Media,Medium,Negative
Street lights not working in Kala Ghoda.,Street Lights,Kala Ghoda,Official App,Medium,Negative
Blinkering street lights at Waghodia Road crossroad.,Street Lights,Waghodia Road,News Headline,Medium,Negative
Too many stray dogs in Vasna Road attacking people.,Stray Animals,Vasna Road,Official App,Medium,Negative
Please check: Low pressure water in Karelibaug. Calling municipal corporation.,Water Supply,Karelibaug,Social Media,High,Negative
Help needed: Too many stray dogs in Karelibaug attacking people. Calling municipal corporation.,Stray Animals,Karelibaug,Social Media,Medium,Negative
"Action required: Andhera hai Ajwa Road me, lights fix karo. #Vadodara #VMC",Street Lights,Ajwa Road,WhatsApp,Medium,Negative
