date,event_name,location,impact_type,impact_level,details
2024-01-07,MG Vadodara International Marathon,City Wide (Start: Navlakhi),Road Closures,Severe,Major roads closed 5AM-11AM. 100k+ participants.
2024-02-15,VCCI Industrial Expo,Navlakhi Ground,Traffic Congestion,High,Heavy traffic near Jail Road / Palace Road for 3 days.
2024-02-16,VCCI Industrial Expo,Navlakhi Ground,Traffic Congestion,High,
2024-02-17,VCCI Industrial Expo,Navlakhi Ground,Traffic Congestion,High,
2024-09-27,PM Visit (Inauguration),Airport to Leprosy Ground,Security Closures,Critical,VIP Route sterilized. 2-hour complete traffic halt.
2024-12-15,MSU Convocation,MSU Campus / Convocation Ground,Localized Traffic,Medium,Congestion around University/Sayajigunj area.
2025-01-05,MG Vadodara International Marathon,City Wide,Road Closures,Severe,Major roads closed 5AM-11AM.
2025-12-20,Vadodara Art & Culture Festival,Akota Stadium,Crowd / Noise,Medium,Evening traffic spike near Akota.
2025-06-18,CM Visit (Shala Praveshotsav),Multiple Schools,VIP Movement,Medium,Temporary stoppages on main roads.
2026-01-04,MG Vadodara International Marathon,City Wide,Road Closures,Severe,Major roads closed 5AM-11AM.
